"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, mountain bike, bmx",502,598,695,791,1.750729719
"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.647825266
"Stationary cycling, moderate",413,493,572,651,1.441339355
"Calisthenics, light",207,246,286,326,0.7210081791
"Circuit training, minimal rest",472,563,654,745,1.647825266
"Weight lifting, body building, vigorous",354,422,490,558,1.234853445
"Weight lifting, light workout",177,211,245,279,0.6174267224
"Rowing machine, moderate",413,493,572,651,1.441339355
Ski machine,413,493,572,651,1.441339355
"Aerobics, general",384,457,531,605,1.338434901
Mild stretching,148,176,204,233,0.5151992716
Instructing aerobic class,354,422,490,558,1.234853445
"Ballet, twist, jazz, tap",266,317,368,419,0.9274940896
Running,738,880,1022,1163,2.574642352
Archery,207,246,286,326,0.7210081791
Badminton,266,317,368,419,0.9274940896
Basketball,413,493,572,651,1.441339355
Billiards,148,176,204,233,0.5151992716
Bowling,177,211,245,279,0.6174267224
"Boxing, punching bag",354,422,490,558,1.234853445
"Boxing, sparring",531,633,735,838,1.85295717
"Cricket (batting, bowling)",295,352,409,465,1.02972154
Curling,236,281,327,372,0.8232356299
Fencing,354,422,490,558,1.234853445
"Football, touch, flag, general",472,563,654,745,1.647825266
"Frisbee, ultimate frisbee",472,563,654,745,1.647825266
"Golf, general",266,317,368,419,0.9274940896
Gymnastics,236,281,327,372,0.8232356299
Handball,708,844,981,1117,2.471060896
"Hockey, ice hockey",472,563,654,745,1.647825266
"Riding a horse, general",236,281,327,372,0.8232356299
"Martial arts, kick boxing",590,704,817,931,2.059443081
"Martial arts, tae kwan do",590,704,817,931,2.059443081
Orienteering,531,633,735,838,1.85295717
Playing paddleball,354,422,490,558,1.234853445
Polo,472,563,654,745,1.647825266
Playing racquetball,413,493,572,651,1.441339355
climbing,649,774,899,1024,2.265251988
Jumping rope,590,704,817,931,2.059443081
Rugby,590,704,817,931,2.059443081
Skateboarding,295,352,409,465,1.02972154
Roller skating,413,493,572,651,1.441339355
"Roller blading, in-line skating",708,844,981,1117,2.471060896
Sky diving,177,211,245,279,0.6174267224
Playing soccer,413,493,572,651,1.441339355
Softball or baseball,295,352,409,465,1.02972154
Squash,708,844,981,1117,2.471060896
"Table tennis, ping pong",236,281,327,372,0.8232356299
Playing tennis,413,493,572,651,1.441339355
Trampoline,207,246,286,326,0.7210081791
"Volleyball, competitive",472,563,654,745,1.647825266
Playing volleyball,177,211,245,279,0.6174267224
"Volleyball, beach",472,563,654,745,1.647825266
Wrestling,354,422,490,558,1.234853445
Wallyball,413,493,572,651,1.441339355
Hiking,413,493,572,651,1.441339355
"Climbing hills, carrying up to 9 lbs",413,493,572,651,1.441339355
"Climbing hills, carrying 10 to 20 lb",443,528,613,698,1.544920812
"Climbing hills, carrying 21 to 42 lb",472,563,654,745,1.647825266
"Climbing hills, carrying over 42 lb",531,633,735,838,1.85295717
"Hiking, cross country",354,422,490,558,1.234853445
Bird watching,148,176,204,233,0.5151992716
"Marching, rapidly, military",384,457,531,605,1.338434901
"Children's games, hopscotch, dodgeball",295,352,409,465,1.02972154
Pushing a wheelchair,236,281,327,372,0.8232356299
Race walking,384,457,531,605,1.338434901
"Rock climbing, mountain climbing",472,563,654,745,1.647825266
Walking the dog,177,211,245,279,0.6174267224
"Walking 3.0 mph, moderate",195,232,270,307,0.679710997
"Boating, power, speed boat",148,176,204,233,0.5151992716
"Canoeing, rowing, moderate",413,493,572,651,1.441339355
"Crew, sculling, rowing, competition",708,844,981,1117,2.471060896
Kayaking,295,352,409,465,1.02972154
Paddle boat,236,281,327,372,0.8232356299
"Windsurfing, sailing",177,211,245,279,0.6174267224
"Sailing, competition",295,352,409,465,1.02972154
"Sailing, yachting, ocean sailing",177,211,245,279,0.6174267224
"Skiing, water skiing",354,422,490,558,1.234853445
Snorkeling,295,352,409,465,1.02972154
"Surfing, body surfing or board surfing",177,211,245,279,0.6174267224
"Whitewater rafting, kayaking, canoeing",295,352,409,465,1.02972154
Swimming,472,563,654,745,1.647825266
Water aerobic,236,281,327,372,0.8232356299
Ice skating,413,493,572,651,1.441339355
Skiing,472,563,654,745,1.647825266